"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_spent","leads_count","purchases_count","revenue"
2023-06-01,yandex,cpc,freemium,2904,2858328,2904,572,37987774
2023-06-01,yandex,cpc,prof-frontend,970,5542386,970,150,14303400
2023-06-01,yandex,cpc,prof-python,935,2807210,935,132,10502085
2023-06-01,yandex,cpc,base-python,333,463388,333,72,4931352
2023-06-01,yandex,cpc,base-frontend,648,975294,648,48,3865860
2023-06-01,yandex,cpc,prof-java,640,1887360,640,50,3559870
2023-06-01,yandex,cpc,base-java,338,500552,338,26,2184000
2023-06-01,vk,cpc,freemium-frontend,390,410800,252,27,1656543
2023-06-01,vk,cpc,prof-python,198,200772,134,14,1176008
2023-06-01,vk,cpc,prof-java,261,271005,162,9,1151754
2023-06-01,yandex,cpc,prof-professions-brand,125,120450,125,20,1151535
2023-06-01,yandex,cpc,prof-data-analytics,68,171462,68,8,881056
2023-06-01,yandex,cpc,dod-frontend,30,28710,30,9,609105
2023-06-01,yandex,cpc,dod-php,18,35784,18,3,450765
2023-06-09,telegram,cpp,base-java,5,,2,2,302384
